what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.ui",1420338031237
started,bundle,org.eclipse.wst.css.core,1.1.602.v201210091733,"org.eclipse.wst.css.core",1420338031562
started,bundle,org.eclipse.wst.common.uriresolver,1.2.0.v201203071939,"org.eclipse.wst.common.uriresolver",1420338031573
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.502.v201208171701,"org.eclipse.wst.jsdt.web.ui",1420338031739
started,bundle,org.eclipse.wst.css.ui,1.0.702.v201211262010,"org.eclipse.wst.css.ui",1420338031751
started,bundle,org.eclipse.wst.dtd.ui,1.0.700.v201203081826,"org.eclipse.wst.dtd.ui",1420338031791
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.502.v201301101836,"org.eclipse.wst.jsdt.web.core",1420338031828
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338032145
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338038977
started,bundle,org.eclipse.debug.ui,3.8.2.v20130130-171415,"org.eclipse.debug.ui",1420338039343
opened,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420338039572
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.201.v201208241832,"org.eclipse.wst.jsdt.debug.ui",1420338039991
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420338040041
started,bundle,org.eclipse.core.variables,3.2.600.v20120521-2012,"org.eclipse.core.variables",1420338041110
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420338044038
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420338045797
opened,view,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.ServersView",1420338047403
activated,view,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.ServersView",1420338047431
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338048952
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.101.v20121107_1651,"org.eclipse.wst.server.preview.adapter",1420338049317
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.402.v20130108_1103,"org.eclipse.jst.server.tomcat.core",1420338056762
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.300.v20120420_1012,"org.eclipse.jst.server.tomcat.ui",1420338056964
started,bundle,org.eclipse.tm.terminal,3.2.2.201301071106,"org.eclipse.tm.terminal",1420338075338
error,log,,,"Could not auto-share project 服务器",1420338075660
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110808-1657,"org.eclipse.equinox.p2.garbagecollector",1420338075695
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338075778
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420338078543
activated,view,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.ServersView",1420338081196
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420338083254
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.400.v201201111717,"org.eclipse.wst.ws.service.policy.ui",1420338083605
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1420338083613
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1420338083653
started,bundle,org.eclipse.wst.ws,1.1.300.v201204181727,"org.eclipse.wst.ws",1420338083654
started,bundle,org.eclipse.ltk.ui.refactoring,3.7.0.v20120523-1543,"org.eclipse.ltk.ui.refactoring",1420338083786
started,bundle,org.eclipse.cdt.debug.core,7.2.0.201302132326,"org.eclipse.cdt.debug.core",1420338084708
started,bundle,org.eclipse.cdt.debug.ui,7.2.0.201302132326,"org.eclipse.cdt.debug.ui",1420338084727
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338087171
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1420338087229
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.201.v20130123_1813,"org.eclipse.jst.server.preview.adapter",1420338087238
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338092687
executed,command,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.launchShortcut.run",1420338093130
started,bundle,org.eclipse.jdt.debug,3.7.101.v20120913-153601,"org.eclipse.jdt.debug",1420338093598
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1420338093685
started,bundle,org.eclipse.jdt.debug.ui,3.6.100.v20120530-1425,"org.eclipse.jdt.debug.ui",1420338093780
