what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1420338743925
error,log,,,"Could not publish server configuration: null.",1420338744273
activated,view,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.ServersView",1420338744285
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338744476
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338747997
activated,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1420338753348
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420338758050
activated,view,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.ServersView",1420338759652
executed,command,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.run",1420338759749
error,log,,,"Removing obsolete files from server...",1420338759757
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338759854
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338760986
opened,editor,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.editor",1420338764525
activated,editor,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.editor",1420338764544
activated,view,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.ServersView",1420338788438
activated,editor,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.editor",1420338789360
activated,view,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.ServersView",1420338794857
executed,command,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.run",1420338794925
error,log,,,"Removing obsolete files from server...",1420338794928
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338795036
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338797655
activated,editor,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.editor",1420338801806
activated,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1420338801903
closed,editor,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.editor",1420338801911
activated,view,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.ServersView",1420338803012
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338803576
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338804124
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.delete",1420338804136
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420338806349
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338806555
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338808652
executed,command,org.eclipse.ltk.ui.refactoring,3.7.0.v20120523-1543,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1420338808662
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.delete",1420338808663
activated,view,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.ServersView",1420338809778
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338809922
error,log,,,"Could not auto-share project ·þÎñÆ÷",1420338833148
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338833246
executed,command,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.run",1420338836941
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1420338837751
activated,view,org.eclipse.wst.server.ui,1.4.100.v20121112_1718,"org.eclipse.wst.server.ui.ServersView",1420338839468
activated,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1420338840023
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420338840156
closed,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1420338840163
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420338841620
opened,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1420338843718
activated,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1420338843737
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338850170
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338903093
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338903516
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338951762
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420338953577
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338958418
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338958856
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420338958856
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420338961504
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.1.0.v201301161500,"org.eclipse.jst.jsf.facelet.ui",1420338965505
started,bundle,org.eclipse.jst.jsf.facelet.core,1.1.0.v201301161500,"org.eclipse.jst.jsf.facelet.core",1420338965541
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339018573
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339021225
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339021977
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339022405
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339062261
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339068322
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339070959
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339074996
started,bundle,org.eclipse.pde.launching,3.6.100.v20120605-203027,"org.eclipse.pde.launching",1420339075105
started,bundle,org.eclipse.ui.views.log,1.0.300.v20120530-1435,"org.eclipse.ui.views.log",1420339075105
started,bundle,org.eclipse.pde.ui,3.7.2.v20130121-093123,"org.eclipse.pde.ui",1420339075121
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.101.v201208171701,"org.eclipse.wst.jsdt.debug.rhino.ui",1420339075121
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339075136
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339075152
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339075496
opened,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420339080260
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420339080339
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.selectAll",1420339084479
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.copy",1420339085011
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420339086299
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420339087322
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.selectAll",1420339088475
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420339088975
started,bundle,org.eclipse.jst.jsf.ui,1.4.0.v201301161500,"org.eclipse.jst.jsf.ui",1420339090532
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420339090626
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339150063
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339153483
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420339157202
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420339171547
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420339190178
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339199592
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420339214037
